,name,tokens,1epoch,2epoch,total,,,,,,sentence
0,split_crawl_finweb_8011,2876630,2876630,14383150,17259780,,,,,,8012
1,split_AIHUB_finance_dataset_277969,5891711,5891711,29458555,35350266,,,,,,277970
2,split_Reuters_TRC2_1800369,360828807,360828807,360828807,721657614,,,,,,1800370
3,split_nytimes_news_data_90419,78308871,78308871,391544355,469853226,,,,,,90420
4,split_crawl_EIA_2722,1216652,1216652,12166520,13383172,,,,,,2723
5,split_paper_abstract_corpus_290868,43042055,43042055,430420550,473462605,,,,,,290869
6,split_Earning_call_script_838120,1765091906,1059055144,0,1059055144,,,,,,838121
7,split_Historical_News_Archive_221512,131445300,131445300,394335900,525781200,,,,,,221513
8,split_edgar_filings_corpus_37175,955462428,955462428,0,955462428,,,,,,37176
,,3344164360,2638127598,1633137837,4271265435,,,,,,
